date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"November 5, 2013",District of Columbia,Washington,3900 block of Minnesota Ave,0,4,http://www.gunviolencearchive.org/incident/492999,http://www.nbcwashington.com/news/local/Four-Reportedly-Shot-in-Northeast-DC-230848981.html
"November 5, 2013",Florida,Jacksonville,1100 block of Randolph,4,0,http://www.gunviolencearchive.org/incident/493109,http://jacksonville.com/breaking-news/2013-11-08/story/surveillance-footage-may-have-hints-about-vehicle-involved
"November 10, 2013",Arizona,Phoenix,5800 South 53rd Glen,1,3,http://www.gunviolencearchive.org/incident/493863,http://www.abc15.com/news/region-phoenix-metro/south-phoenix/phoenix-pd-deadly-shooting-involved-rival-gang-members
"November 10, 2013",Ohio,Canton,1215 Tuscarawas St W,1,3,http://www.gunviolencearchive.org/incident/493893,http://fox8.com/2013/11/10/1-killed-3-injured-in-canton-bar-shooting/
"November 21, 2013",Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,http://www.gunviolencearchive.org/incident/494116,http://philadelphia.cbslocal.com/2013/11/21/polcie-investigate-quadruple-shooting-in-west-philadelphia/
"November 20, 2013",Texas,Houston,8200 block of Sunbury,3,2,http://www.gunviolencearchive.org/incident/494072,http://abc13.com/archive/9337822/
"November 29, 2013",Indiana,Indianapolis,3400 block of East 34th Street,0,4,http://www.gunviolencearchive.org/incident/495178,http://fox59.com/2013/11/30/three-teens-shot-after-east-side-house-party-gets-out-of-control/
"November 29, 2013",California,Fresno,Oleander and Modoc,0,4,http://www.gunviolencearchive.org/incident/495195,http://abc30.com/archive/9344154/
"November 15, 2013",Texas,Houston,4400 block of Tiffany,1,3,http://www.gunviolencearchive.org/incident/494033,http://english.cntv.cn/20131117/100728.shtml
"November 24, 2013",New Jersey,Plainfield,700 block of E 6th St,1,0,http://www.gunviolencearchive.org/incident/1337870,https://www.rlsmedia.com/article/fourth-defendant-sentenced-plainfield-killing
"November 23, 2013",Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,http://www.gunviolencearchive.org/incident/494155,http://www.tulsaworld.com/news/crimewatch/leads-are-few-in-nov-quadruple-homicide-tulsa-police-say/article_2b1f879d-639e-53cd-9b2d-fb2c931bd46e.html
"November 25, 2013",California,Oakland,96th Avenue and Olive Street,0,7,http://www.gunviolencearchive.org/incident/495145,http://abc7news.com/archive/9339708/
"November 25, 2013",Minnesota,Minneapolis,1611 E Lake St,1,3,http://www.gunviolencearchive.org/incident/494215,http://blogs.mprnews.org/cities/2014/01/no-one-wished-him-happy-birthday-2013-gun-crime-in-hennepin-county/
"November 9, 2013",Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,http://www.gunviolencearchive.org/incident/493842,https://www.dailymail.co.uk/news/article-2500592/Teen-killed-Texas-party-shootings-Queric-Richardson-pictured.html
"November 2, 2013",Kentucky,Radcliff,355 Shelby Avenue,1,3,http://www.gunviolencearchive.org/incident/492933,http://www.wdrb.com/story/23911589/residents-hoping-for-an-arrest-in-deadly-radcliff-shooting
"November 30, 2013",Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,http://www.gunviolencearchive.org/incident/495268,http://www.wctv.tv/home/headlines/233942891.html
"November 30, 2013",Michigan,Lansing,N/A,0,5,http://www.gunviolencearchive.org/incident/495323,http://www.wilx.com/home/headlines/Police-5-Shot-during-fight-at-Lansing-house-party-233939131.html
"November 7, 2013",Michigan,Detroit,Conley and 7 Mile,3,7,http://www.gunviolencearchive.org/incident/493035,https://www.usatoday.com/story/news/nation/2013/11/07/detroit-barber-shop-shooting/3463983/
"November 11, 2013",New York,Brooklyn,318 Maujer St,4,1,http://www.gunviolencearchive.org/incident/493882,https://nypost.com/2013/11/11/gunman-three-others-dead-in-brooklyn-bloodshed/
"November 28, 2013",New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,http://www.gunviolencearchive.org/incident/495171,https://www.democratandchronicle.com/story/news/local/2013/12/02/4-identified-in-st-paul-shooting/3821037/
"November 3, 2013",California,Perris,2900 block of Perris Boulevard,0,5,http://www.gunviolencearchive.org/incident/492985,http://www.menifee247.com/2013/11/suspect-vehicle-in-driveby-shooting-located-in-menifee.html
"November 3, 2013",California,Los Angeles,1 World Way,1,3,http://www.gunviolencearchive.org/incident/492950,https://www.lawa.org/uploadedFiles/LAX/LAWA%20T3%20After%20Action%20Report%20March%2018%202014.pdf
"November 22, 2013",Pennsylvania,Philadelphia,5100 Parrish St,0,1,http://www.gunviolencearchive.org/incident/964576,http://www.philly.com/philly/news/crime/feds-charge-13-in-w-philly-drug-gang-war-20171019.html
"November 22, 2013",Pennsylvania,Philadelphia,Westminster Ave and Paxson St,0,1,http://www.gunviolencearchive.org/incident/964582,http://www.philly.com/philly/news/crime/feds-charge-13-in-w-philly-drug-gang-war-20171019.html
