date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"January 23, 2013",Maryland,Baltimore,1500 block of W. Fayette St.,1,6,http://www.gunviolencearchive.org/incident/492151,http://www.abc2news.com/news/crime-checker/baltimore-city-crime/mother-of-murdered-15-yo-speaks-out
"January 23, 2013",Tennessee,Chattanooga,1501 Dodds Ave,1,3,http://www.gunviolencearchive.org/incident/491674,http://www.wrcbtv.com/story/22664154/one-dead-in-chattanooga-shooting
"January 25, 2013",Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,1,3,http://www.gunviolencearchive.org/incident/479413,http://stlouis.cbslocal.com/2013/01/25/one-dead-four-wounded-in-drive-by-shooting/
"January 1, 2013",Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,http://www.gunviolencearchive.org/incident/461105,http://www.post-gazette.com/local/south/2013/01/17/Man-arrested-in-New-Year-s-Eve-shooting-in-McKeesport/stories/201301170275
"January 1, 2013",California,Hawthorne,13500 block of Cerise Avenue,1,3,http://www.gunviolencearchive.org/incident/460726,http://www.dailybulletin.com/article/zz/20130105/NEWS/130109127
"January 1, 2013",Ohio,Lorain,1776 E 28th St,1,3,http://www.gunviolencearchive.org/incident/478855,http://chronicle.northcoastnow.com/2013/02/14/2-men-indicted-in-new-years-day-lorain-murder/
"January 7, 2013",North Carolina,Greensboro,307 Mourning Dove Terrace,2,2,http://www.gunviolencearchive.org/incident/478959,http://www.journalnow.com/news/local/article_d4c723e8-5a0f-11e2-a1fa-0019bb30f31a.html
"January 7, 2013",Oklahoma,Tulsa,6000 block of South Owasso,4,0,http://www.gunviolencearchive.org/incident/478948,http://usnews.nbcnews.com/_news/2013/01/07/16397584-police-four-women-found-dead-in-tulsa-okla-apartment?lite
"January 10, 2013",Michigan,Flint,3600 block of Sterling St,1,0,http://www.gunviolencearchive.org/incident/190560,http://www.mlive.com/news/flint/index.ssf/2014/09/crime_stoppers_offers_reward_f_2.html
"January 19, 2013",New Mexico,Albuquerque,2806 Long Lane,5,0,http://www.gunviolencearchive.org/incident/479363,http://hinterlandgazette.com/2013/01/pastor-greg-griego-identified-victims-killed-nehemiah-griego-albuquerque-nm-shooting.html
"January 5, 2013",Colorado,Aurora,16000 block of East Ithaca Place,4,0,http://www.gunviolencearchive.org/incident/478925,http://www.dailydemocrat.com/20130106/aurora-shootout-killer-was-frenetic-talented-neighbor-says
"January 4, 2013",Georgia,Loganville,1441 Henderson Ridge Lane,0,1,http://www.gunviolencearchive.org/incident/1360728,https://www.washingtonpost.com/national/a-clear-case-of-self-defense-rallies-supporters-of-gun-rights/2013/05/04/1d61aad2-b376-11e2-9a98-4be1688d7d84_story.html?noredirect=on&utm_term=.6e4f6298b7df
"January 26, 2013",Louisiana,Charenton,1000 block of Flat Town Road,2,3,http://www.gunviolencearchive.org/incident/479561,http://www.huffingtonpost.com/2013/01/27/wilbert-thibodeaux-arrested_n_2561190.html
"January 26, 2013",District of Columbia,Washington,2403 Benning Road Northeast,0,5,http://www.gunviolencearchive.org/incident/479554,https://www.washingtontimes.com/news/2013/jan/29/dc-police-release-person-interest-photos-club-shoo/
"January 26, 2013",Ohio,Springfield,601 West Main Street,1,3,http://www.gunviolencearchive.org/incident/479460,http://www.whio.com//news/news/crime-law/arrest-made-in-nite-owl-homicide/nWsp4/
"January 21, 2013",Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,http://www.gunviolencearchive.org/incident/479374,http://www.nola.com/crime/index.ssf/2013/01/nopd_4_people_shot_in_central.html
"January 21, 2013",California,Brentwood,1100 block of Breton Drive,0,4,http://www.gunviolencearchive.org/incident/479389,http://sanfrancisco.cbslocal.com/2013/01/22/4-teens-hurt-in-drive-by-shooting-in-brentwood/
"January 27, 2013",New York,Riverhead (Flanders),200 Priscilla Ave,1,0,http://www.gunviolencearchive.org/incident/1479016,https://patch.com/new-york/riverhead/6-years-after-deadly-home-invasion-demitri-hampton-remembered
